user_id,email_creates_90d,email_publishes_90d,email_tests_90d,ca_template_creates_90d,ai_content_creates_90d,sms_creates_90d,sms_publishes_90d,automation_creates_90d,automation_publishes_90d,builder_active_days_90d,total_builder_events_90d
220933238,22,21,0,19,0,0,0,0,0,25,43
224022778,46,31,0,0,0,0,0,0,0,43,77
235611818,50,30,0,0,0,0,0,0,0,51,80
243777470,110,91,2,0,11,0,0,0,0,63,203
248541417,6,2,1,0,0,0,0,0,0,7,9
234406106,4,4,0,0,0,0,0,0,0,4,8
232731126,5,5,0,0,0,0,0,0,0,6,10
201919418,6,5,0,0,0,0,0,0,0,11,11
228673534,6,6,0,0,0,0,0,0,0,7,12
228251458,28,18,0,0,0,0,0,0,0,18,46
213675230,32,17,0,0,0,0,0,0,0,21,49
233883134,39,24,1,0,4,0,0,0,0,17,64
197865758,10,1,1,0,0,0,0,0,0,7,12
199292410,28,18,0,0,0,0,0,0,0,27,46
219212382,16,13,0,0,0,0,0,0,0,26,29
209938990,29,21,1,0,4,0,0,0,0,25,51
212470350,49,31,4,0,0,0,0,0,0,38,84
